Matricule,"Course Code","Ca Marks","Exams Marks",Semester,"Academic year"
SE/21/0010,"SWE232 ",15,35,1,2022/2023
SE/21/0003,"SWE232 ",22,38,1,2022/2023
SE/21/0005,"SWE232 ",25,41,1,2022/2023
SE/21/0001,"SWE232 ",23,44,1,2022/2023
SE/21/0004,"SWE232 ",26,47,1,2022/2023
SE/21/0002,"SWE232 ",16,50,1,2022/2023
SE/21/0012,"SWE232 ",15,53,1,2022/2023
SE/21/0010,"SWE233 ",21,33,1,2022/2023
SE/21/0003,"SWE233 ",20,35,1,2022/2023
SE/21/0005,"SWE233 ",19,37,1,2022/2023
SE/21/0001,"SWE233 ",18,39,1,2022/2023
SE/21/0004,"SWE233 ",17,41,1,2022/2023
SE/21/0002,"SWE233 ",16,43,1,2022/2023
SE/21/0012,"SWE233 ",15,45,1,2022/2023
SE/21/0010,"SWE234 ",15,54,1,2022/2023
SE/21/0003,"SWE234 ",17,51,1,2022/2023
SE/21/0005,"SWE234 ",19,48,1,2022/2023
SE/21/0001,"SWE234 ",21,45,1,2022/2023
SE/21/0004,"SWE234 ",23,42,1,2022/2023
SE/21/0002,"SWE234 ",25,39,1,2022/2023
SE/21/0012,"SWE234 ",27,36,1,2022/2023
SE/21/0010,"SWE235 ",18,54,1,2022/2023
SE/21/0003,"SWE235 ",17,51,1,2022/2023
SE/21/0005,"SWE235 ",25,48,1,2022/2023
SE/21/0001,"SWE235 ",6,22,1,2022/2023
SE/21/0004,"SWE235 ",23,28,1,2022/2023
SE/21/0002,"SWE235 ",0,,1,2022/2023
SE/21/0012,"SWE235 ",11,36,1,2022/2023
SE/21/0010,"SWE236 ",17,54,1,2022/2023
SE/21/0003,"SWE236 ",19,0,1,2022/2023
SE/21/0005,"SWE236 ",21,48,1,2022/2023
SE/21/0001,"SWE236 ",23,22,1,2022/2023
SE/21/0004,"SWE236 ",25,46,1,2022/2023
SE/21/0002,"SWE236 ",27,39,1,2022/2023
SE/21/0012,"SWE236 ",29,36,1,2022/2023
SE/21/0010,"SWE231 ",17,28,1,2022/2023
SE/21/0003,"SWE231 ",19,31,1,2022/2023
SE/21/0005,"SWE231 ",21,34,1,2022/2023
SE/21/0001,"SWE231 ",23,37,1,2022/2023
SE/21/0004,"SWE231 ",25,40,1,2022/2023
SE/21/0002,"SWE231 ",27,43,1,2022/2023
SE/21/0012,"SWE231 ",29,46,1,2022/2023
SE/21/0002,"SWE235 ",,39,1,2022/2023
