Matricule,"Course Code","Ca Marks",Semester,"Academic year"
DEN/22/0006,"BMS 111",34,1,2022/2023
DEN/22/0027,"BMS 111",28,1,2022/2023
DEN/22/0024,"BMS 111",34,1,2022/2023
DEN/22/0015,"BMS 111",25,1,2022/2023
DEN/22/0007,"BMS 111",30,1,2022/2023
DEN/22/0005,"BMS 111",26,1,2022/2023
MLS/21/0001,"MLS 238",0,1,2022/2023
DEN/22/0013,"BMS 111",30,1,2022/2023
MIT/22/0031,"BMS 111",32,1,2022/2023
MIT/22/0030,"BMS 111",25,1,2022/2023
MIT/22/0002,"BMS 111",25,1,2022/2023
MIT/22/0021,"BMS 111",25,1,2022/2023
MIT/22/0023,"BMS 111",33,1,2022/2023
MIT/22/0051,"BMS 111",35,1,2022/2023
MIT/22/0018,"BMS 111",30,1,2022/2023
MIT/22/0047,"BMS 111",33,1,2022/2023
MIT/22/0032,"BMS 111",26,1,2022/2023
MIT/22/0040,"BMS 111",31,1,2022/2023
MIT/22/0010,"BMS 111",24,1,2022/2023
MIT/22/0005,"BMS 111",29,1,2022/2023
MIT/22/0006,"BMS 111",27,1,2022/2023
MIT/22/0012,"BMS 111",32,1,2022/2023
MIT/22/0046,"BMS 111",30,1,2022/2023
MIT/22/0016,"BMS 111",33,1,2022/2023
MIT/22/0013,"BMS 111",29,1,2022/2023
MIT/22/0015,"BMS 111",28,1,2022/2023
MIT/22/0028,"BMS 111",30,1,2022/2023
MIT/22/0033,"BMS 111",20,1,2022/2023
,"BMS 111",0,1,2022/2023
MIT/22/0031,"BMS 112",18,1,2022/2023
MIT/22/0030,"BMS 112",27,1,2022/2023
MIT/22/0002,"BMS 112",25,1,2022/2023
MIT/22/0021,"BMS 112",33,1,2022/2023
MIT/22/0023,"BMS 112",25,1,2022/2023
MIT/22/0051,"BMS 112",25,1,2022/2023
MIT/22/0018,"BMS 112",29,1,2022/2023
MIT/22/0047,"BMS 112",24,1,2022/2023
MIT/22/0032,"BMS 112",18,1,2022/2023
MIT/22/0040,"BMS 112",32,1,2022/2023
MIT/22/0010,"BMS 112",26,1,2022/2023
MIT/22/0005,"BMS 112",26,1,2022/2023
MIT/22/0006,"BMS 112",23,1,2022/2023
MIT/22/0012,"BMS 112",30,1,2022/2023
MIT/22/0046,"BMS 112",25,1,2022/2023
MIT/22/0016,"BMS 112",31,1,2022/2023
MIT/22/0013,"BMS 112",32,1,2022/2023
MIT/22/0015,"BMS 112",29,1,2022/2023
MIT/22/0028,"BMS 112",29,1,2022/2023
MIT/22/0033,"BMS 112",18,1,2022/2023
,"BMS 112",0,1,2022/2023
MIT/22/0002,"MLC 101",12,1,2022/2023
MIT/22/0005,"MLC 101",20,1,2022/2023
MIT/22/0006,"MLC 101",11,1,2022/2023
MIT/22/0010,"MLC 101",15,1,2022/2023
MIT/22/0012,"MLC 101",37,1,2022/2023
MIT/22/0013,"MLC 101",33,1,2022/2023
MIT/22/0015,"MLC 101",14,1,2022/2023
MIT/22/0016,"MLC 101",20,1,2022/2023
MIT/22/0018,"MLC 101",15,1,2022/2023
MIT/22/0021,"MLC 101",23,1,2022/2023
MIT/22/0023,"MLC 101",24,1,2022/2023
MIT/22/0028,"MLC 101",17,1,2022/2023
MIT/22/0030,"MLC 101",25,1,2022/2023
MIT/22/0031,"MLC 101",13,1,2022/2023
MIT/22/0032,"MLC 101",13,1,2022/2023
MIT/22/0033,"MLC 101",15,1,2022/2023
MIT/22/0040,"MLC 101",23,1,2022/2023
MIT/22/0046,"MLC 101",32,1,2022/2023
MIT/22/0047,"MLC 101",21,1,2022/2023
MIT/22/0051,"MLC 101",25,1,2022/2023
MIT/22/0031,"BMS 113",20,1,2022/2023
MIT/22/0030,"BMS 113",25,1,2022/2023
MIT/22/0002,"BMS 113",28,1,2022/2023
MIT/22/0021,"BMS 113",25,1,2022/2023
MIT/22/0023,"BMS 113",28,1,2022/2023
MIT/22/0051,"BMS 113",20,1,2022/2023
MIT/22/0018,"BMS 113",26,1,2022/2023
MIT/22/0047,"BMS 113",28,1,2022/2023
MIT/22/0032,"BMS 113",16,1,2022/2023
MIT/22/0040,"BMS 113",21,1,2022/2023
MIT/22/0010,"BMS 113",26,1,2022/2023
MIT/22/0005,"BMS 113",23,1,2022/2023
MIT/22/0006,"BMS 113",20,1,2022/2023
MIT/22/0012,"BMS 113",27,1,2022/2023
MIT/22/0046,"BMS 113",17,1,2022/2023
MIT/22/0016,"BMS 113",23,1,2022/2023
MIT/22/0013,"BMS 113",24,1,2022/2023
MIT/22/0015,"BMS 113",23,1,2022/2023
MIT/22/0028,"BMS 113",20,1,2022/2023
MIT/22/0033,"BMS 113",19,1,2022/2023
,"BMS 113",0,1,2022/2023
MIT/22/0031,"BMS 114",20,1,2022/2023
MIT/22/0030,"BMS 114",28,1,2022/2023
MIT/22/0002,"BMS 114",25,1,2022/2023
MIT/22/0021,"BMS 114",26,1,2022/2023
MIT/22/0023,"BMS 114",29,1,2022/2023
MIT/22/0051,"BMS 114",21,1,2022/2023
MIT/22/0018,"BMS 114",26,1,2022/2023
MIT/22/0047,"BMS 114",28,1,2022/2023
MIT/22/0032,"BMS 114",12,1,2022/2023
MIT/22/0040,"BMS 114",31,1,2022/2023
MIT/22/0010,"BMS 114",20,1,2022/2023
MIT/22/0005,"BMS 114",27,1,2022/2023
MIT/22/0006,"BMS 114",19,1,2022/2023
MIT/22/0012,"BMS 114",30,1,2022/2023
MIT/22/0046,"BMS 114",20,1,2022/2023
MIT/22/0016,"BMS 114",28,1,2022/2023
MIT/22/0013,"BMS 114",22,1,2022/2023
MIT/22/0015,"BMS 114",30,1,2022/2023
MIT/22/0028,"BMS 114",0,1,2022/2023
MIT/22/0033,"BMS 114",20,1,2022/2023
,"BMS 114",0,1,2022/2023
MIT/22/0031,"BMS 115",20,1,2022/2023
MIT/22/0030,"BMS 115",20,1,2022/2023
MIT/22/0002,"BMS 115",13,1,2022/2023
MIT/22/0021,"BMS 115",24,1,2022/2023
MIT/22/0023,"BMS 115",18,1,2022/2023
MIT/22/0051,"BMS 115",24,1,2022/2023
MIT/22/0018,"BMS 115",17,1,2022/2023
MIT/22/0047,"BMS 115",20,1,2022/2023
MIT/22/0032,"BMS 115",17,1,2022/2023
MIT/22/0040,"BMS 115",23,1,2022/2023
MIT/22/0010,"BMS 115",14,1,2022/2023
MIT/22/0005,"BMS 115",17,1,2022/2023
MIT/22/0006,"BMS 115",20,1,2022/2023
MIT/22/0012,"BMS 115",23,1,2022/2023
MIT/22/0046,"BMS 115",17,1,2022/2023
MIT/22/0016,"BMS 115",23,1,2022/2023
MIT/22/0013,"BMS 115",17,1,2022/2023
MIT/22/0015,"BMS 115",17,1,2022/2023
MIT/22/0028,"BMS 115",15,1,2022/2023
MIT/22/0033,"BMS 115",15,1,2022/2023
,"BMS 115",0,1,2022/2023
MIT/22/0002,"BMS 116",25,1,2022/2023
MIT/22/0006,"BMS 116",31,1,2022/2023
MIT/22/0005,"BMS 116",30,1,2022/2023
MIT/22/0010,"BMS 116",27,1,2022/2023
MIT/22/0013,"BMS 116",20,1,2022/2023
MIT/22/0012,"BMS 116",31,1,2022/2023
MIT/22/0016,"BMS 116",28,1,2022/2023
MIT/22/0015,"BMS 116",24,1,2022/2023
MIT/22/0023,"BMS 116",25,1,2022/2023
MIT/22/0018,"BMS 116",32,1,2022/2023
MIT/22/0030,"BMS 116",27,1,2022/2023
MIT/22/0028,"BMS 116",27,1,2022/2023
MIT/22/0031,"BMS 116",30,1,2022/2023
MIT/22/0033,"BMS 116",19,1,2022/2023
MIT/22/0032,"BMS 116",19,1,2022/2023
MIT/22/0047,"BMS 116",26,1,2022/2023
MIT/22/0046,"BMS 116",25,1,2022/2023
MIT/22/0040,"BMS 116",35,1,2022/2023
MIT/22/0021,"BMS 116",23,1,2022/2023
MIT/22/0051,"BMS 116",25,1,2022/2023
,"BMS 116",0,1,2022/2023
MIT/22/0002,"BMS 117",19,1,2022/2023
MIT/22/0005,"BMS 117",30,1,2022/2023
MIT/22/0006,"BMS 117",28,1,2022/2023
MIT/22/0010,"BMS 117",26,1,2022/2023
MIT/22/0012,"BMS 117",27,1,2022/2023
MIT/22/0013,"BMS 117",24,1,2022/2023
MIT/22/0015,"BMS 117",21,1,2022/2023
MIT/22/0016,"BMS 117",27,1,2022/2023
MIT/22/0018,"BMS 117",26,1,2022/2023
MIT/22/0021,"BMS 117",27,1,2022/2023
MIT/22/0023,"BMS 117",37,1,2022/2023
MIT/22/0028,"BMS 117",24,1,2022/2023
MIT/22/0030,"BMS 117",21,1,2022/2023
MIT/22/0031,"BMS 117",25,1,2022/2023
MIT/22/0032,"BMS 117",18,1,2022/2023
MIT/22/0033,"BMS 117",25,1,2022/2023
MIT/22/0040,"BMS 117",19,1,2022/2023
MIT/22/0046,"BMS 117",17,1,2022/2023
MIT/22/0047,"BMS 117",30,1,2022/2023
MIT/22/0051,"BMS 117",25,1,2022/2023
MIT/22/0002,"BMS 118",23,1,2022/2023
