Matricule,Course Code,Ca Marks
MLS/21/0053,MLS 234,28
MLS/21/0051,MLS 234,32
MLS/22/0043,MLS 234,25
MLS/22/0043,MLS 237,35
MLS/21/0051,MLS 237,37
MLS/21/0053,MLS 237,36
MLS/21/0054,MLS 237,38
MLS/22/0067,MLS 237,37
MLS/22/0043,MLS 238,28
MLS/21/0051,MLS 238,37
MLS/21/0053,MLS 238,32
MLS/21/0054,MLS 238,32
MLS/22/0067,MLS 238,34
MLS/22/0043, ENG 201,24
MLS/21/0051, ENG 201,37
MLS/21/0053, ENG 201,30
MLS/21/0054, ENG 201,37
MLS/22/0067, ENG 201,30
MLS/22/0043,NUS 231,22
MLS/21/0051,NUS 231,24
MLS/21/0053,NUS 231,25
MLS/21/0054,NUS 231,21
MLS/22/0067,NUS 231,23
MLS/22/0043,MLS 232,25
MLS/21/0051,MLS 232,36
MLS/21/0053,MLS 232,27
MLS/21/0054,MLS 232,31
MLS/22/0067,MLS 232,16
MLS/22/0043,MLS 231,26
MLS/21/0051,MLS 231,31
MLS/21/0053,MLS 231,29
MLS/21/0054,MLS 231,30
MLS/22/0067,MLS 231,20
MLS/22/0043,FRE 201,25
MLS/21/0051,FRE 201,33
MLS/21/0053,FRE 201,37
MLS/21/0054,FRE 201,32
MLS/22/0067,FRE 201,28
MLS/22/0043,MLS 233,28
MLS/21/0051,MLS 233,26
MLS/21/0053,MLS 233,27
MLS/21/0054,MLS 233,26
MLS/22/0067,MLS 233,20
MLS/22/0043,MLS 235,28
MLS/21/0051,MLS 235,24
MLS/21/0053,MLS 235,32
MLS/21/0054,MLS 235,30
MLS/22/0067,MLS 235,24
MLS/22/0043,MLS 236,30
MLS/21/0051,MLS 236,35
MLS/21/0053,MLS 236,31
MLS/21/0054,MLS 236,27
MLS/22/0067,MLS 236,34
MLS/22/0067,BMR 231,28
MLS/21/0054,BMR 231,35
MLS/21/0053,BMR 231,33
MLS/21/0051,BMR 231,36
MLS/22/0043,BMR 231,26
MLS/21/0054,MLS 234,26
MLS/22/0067,MLS 234,33
DEN/21/0028,ENG 201,34
DEN/21/0026,ENG 201,35
DEN/21/0025,ENG 201,34
PHY/21/0015,ENG 201,29
DEN/22/0029,ENG 201,26
DEN/21/0029,ENG 201,38
DEN/21/0027,ENG 201,38
DEN/21/0028,DTH235,17
DEN/21/0026,DTH235,20
DEN/21/0025,DTH235,17
PHY/21/0015,DTH235,24
DEN/22/0029,DTH235,17
DEN/21/0029,DTH235,29
DEN/21/0027,DTH235,25
DEN/21/0028,DHT239,24
DEN/21/0026,DHT239,24
DEN/21/0025,DHT239,25
PHY/21/0015,DHT239,22
DEN/22/0029,DHT239,21
DEN/21/0029,DHT239,31
DEN/21/0027,DHT239,22
DEN/21/0028,DTH 238,30
DEN/21/0026,DTH 238,31
DEN/21/0025,DTH 238,27
PHY/21/0015,DTH 238,30
DEN/22/0029,DTH 238,28
DEN/21/0029,DTH 238,32
DEN/21/0027,DTH 238,31
DEN/21/0028,DHT237,31
DEN/21/0026,DHT237,35
DEN/21/0025,DHT237,28
PHY/21/0015,DHT237,33
DEN/22/0029,DHT237,27
DEN/21/0029,DHT237,31
DEN/21/0027,DHT237,34
DEN/21/0028,DHT231,18
DEN/21/0026,DHT231,19
DEN/21/0025,DHT231,18
PHY/21/0015,DHT231,19
DEN/22/0029,DHT231,14
DEN/21/0029,DHT231,16
DEN/21/0027,DHT231,27
DEN/21/0028,BMR231,38
DEN/21/0026,BMR231,37
DEN/21/0025,BMR231,25
PHY/21/0015,BMR231,30
DEN/22/0029,BMR231,30
DEN/21/0029,BMR231,33
DEN/21/0027,BMR231,34
DEN/21/0028,FRE 201,37
DEN/21/0026,FRE 201,30
DEN/21/0025,FRE 201,35
PHY/21/0015,FRE 201,32
DEN/22/0029,FRE 201,36
DEN/21/0029,FRE 201,34
DEN/21/0027,FRE 201,36
DEN/21/0028,DHT236,22
DEN/21/0026,DHT236,33
DEN/21/0025,DHT236,24
PHY/21/0015,DHT236,26
DEN/22/0029,DHT236,29
DEN/21/0029,DHT236,31
DEN/21/0027,DHT236,32
DEN/21/0028,DHT234,21
DEN/21/0026,DHT234,19
