MATRICULE ,code,CA,Exams,Semester,Academic year
MNA/22/0010,MNA 601,,35,1,2022/2023
MNA/22/0013,MNA 601,,34,1,2022/2023
MNA/22/0001,MNA 601,,38,1,2022/2023
MNA/22/0009,MNA 601,,0,1,2022/2023
MNA/22/0007,MNA 601,,35,1,2022/2023
MNA/22/0005,MNA 601,,38,1,2022/2023
MNA/22/0004,MNA 601,,53,1,2022/2023
MNA/22/0010,MNA 603,,45,1,2022/2023
MNA/22/0013,MNA 603,,47,1,2022/2023
MNA/22/0001,MNA 603,,51,1,2022/2023
MNA/22/0009,MNA 603,,0,1,2022/2023
MNA/22/0007,MNA 603,,59,1,2022/2023
MNA/22/0005,MNA 603,,48,1,2022/2023
MNA/22/0004,MNA 603,,60,1,2022/2023
MNA/22/0010,MNA 605,,40,1,2022/2023
MNA/22/0013,MNA 605,,43,1,2022/2023
MNA/22/0001,MNA 605,,41,1,2022/2023
MNA/22/0009,MNA 605,,0,1,2022/2023
MNA/22/0007,MNA 605,,53,1,2022/2023
MNA/22/0005,MNA 605,,41,1,2022/2023
MNA/22/0004,MNA 605,,46,1,2022/2023
MNA/22/0010,MNA 607,,30,1,2022/2023
MNA/22/0013,MNA 607,,28.5,1,2022/2023
MNA/22/0001,MNA 607,,36,1,2022/2023
MNA/22/0009,MNA 607,,0,1,2022/2023
MNA/22/0007,MNA 607,,56.5,1,2022/2023
MNA/22/0005,MNA 607,,36.5,1,2022/2023
MNA/22/0004,MNA 607,,48,1,2022/2023
MNA/22/0010,MNA 609,,18,1,2022/2023
MNA/22/0013,MNA 609,,28,1,2022/2023
MNA/22/0001,MNA 609,,11,1,2022/2023
MNA/22/0009,MNA 609,,0,1,2022/2023
MNA/22/0007,MNA 609,,48,1,2022/2023
MNA/22/0005,MNA 609,,34,1,2022/2023
MNA/22/0004,MNA 609,,40,1,2022/2023
MNA/22/0010,MNA 611,,26,1,2022/2023
MNA/22/0013,MNA 611,,41,1,2022/2023
MNA/22/0001,MNA 611,,38,1,2022/2023
MNA/22/0009,MNA 611,,0,1,2022/2023
MNA/22/0007,MNA 611,,41,1,2022/2023
MNA/22/0005,MNA 611,,41,1,2022/2023
MNA/22/0004,MNA 611,,38,1,2022/2023
MSN/22/0003,MSN 601,,0,1,2022/2023
MSN/22/0001,MSN 601,,38.5,1,2022/2023
MSN/22/0005,MSN 601,,36,1,2022/2023
MSN/22/0008,MSN 601,,43.5,1,2022/2023
MSN/22/0003,MSN 603,,0,1,2022/2023
MSN/22/0001,MSN 603,,40,1,2022/2023
MSN/22/0005,MSN 603,,40,1,2022/2023
MSN/22/0008,MSN 603,,47,1,2022/2023
MSN/22/0003,MSN 605,,0,1,2022/2023
MSN/22/0001,MSN 605,,56,1,2022/2023
MSN/22/0005,MSN 605,,41,1,2022/2023
MSN/22/0008,MSN 605,,32,1,2022/2023
MSN/22/0003,MSN 607,,0,1,2022/2023
MSN/22/0001,MSN 607,,42,1,2022/2023
MSN/22/0005,MSN 607,,34.5,1,2022/2023
MSN/22/0008,MSN 607,,35,1,2022/2023
MSN/22/0003,MSN 609,,0,1,2022/2023
MSN/22/0001,MSN 609,,31,1,2022/2023
MSN/22/0005,MSN 609,,24,1,2022/2023
MSN/22/0008,MSN 609,,30,1,2022/2023
MSN/22/0003,MSN 611,,0,1,2022/2023
MSN/22/0001,MSN 611,,33,1,2022/2023
MSN/22/0005,MSN 611,,44,1,2022/2023
MSN/22/0008,MSN 611,,22,1,2022/2023
MSN/22/0003,MSN 613,,0,1,2022/2023
MSN/22/0001,MSN 613,,45,1,2022/2023
MSN/22/0005,MSN 613,,51,1,2022/2023
MSN/22/0008,MSN 613,,48,1,2022/2023
MPH/22/0002,MPH 509,,43.5,1,2022/2023
MPH/22/0012,MPH 509,,52.5,1,2022/2023
MPH/22/0005,MPH 509,,44,1,2022/2023
MPH/22/0006,MPH 509,,54.5,1,2022/2023
MPH/22/0009,MPH 509,,41.5,1,2022/2023
MPH/22/0008,MPH 509,,50,1,2022/2023
MPH/22/0001,MPH 509,,42,1,2022/2023
MPH/22/0014,MPH 509,,39,1,2022/2023
MPH/22/0002,MPH 515,,47,1,2022/2023
MPH/22/0012,MPH 515,,44,1,2022/2023
MPH/22/0005,MPH 515,,45,1,2022/2023
MPH/22/0006,MPH 515,,35,1,2022/2023
MPH/22/0009,MPH 515,,41,1,2022/2023
MPH/22/0008,MPH 515,,41,1,2022/2023
MPH/22/0001,MPH 515,,51,1,2022/2023
MPH/22/0014,MPH 515,,47,1,2022/2023
MPH/22/0002,MPH 511,,44,1,2022/2023
MPH/22/0012,MPH 511,,57,1,2022/2023
MPH/22/0005,MPH 511,,52,1,2022/2023
MPH/22/0006,MPH 511,,57,1,2022/2023
MPH/22/0009,MPH 511,,51,1,2022/2023
MPH/22/0008,MPH 511,,57,1,2022/2023
MPH/22/0001,MPH 511,,54,1,2022/2023
MPH/22/0014,MPH 511,,49,1,2022/2023
MPH/22/0002,MPH 513,,43,1,2022/2023
MPH/22/0012,MPH 513,,60,1,2022/2023
MPH/22/0005,MPH 513,,33,1,2022/2023
MPH/22/0006,MPH 513,,49,1,2022/2023
MPH/22/0009,MPH 513,,33,1,2022/2023
MPH/22/0008,MPH 513,,38,1,2022/2023
